MWSC,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,SType,[Fe/H],e_[Fe/H],o_[Fe/H],Simbad,
26,PTB_7            , , ,3.801,68.318,119.577,5.679,0.02,0.075,0.165,-0.22,-1.11,       ,        ,0,4,53,172,3233,1.405,13,0.675,0.45,-0.015,6.55,       ,    ,irc,        ,       ,0,Simbad,
27,BDSB_48          ,r,c,3.862,61.26,118.614,-1.313,0.015,0.035,0.07,-2.41,-3.25,       ,        ,0,4,9,21,8000,1.549,15.014,0.744,0.496,0.015,7.95,       ,    ,irc,        ,       ,0,Simbad,
28,Juchert-Saloran_1, , ,4.081,59.962,118.541,-2.613,0.025,0.06,0.125,-2.38,-1.24,       ,        ,0,16,38,125,5326,0.833,13.9,0.4,0.267,0,9.3,       ,    ,   ,        ,       ,0,Simbad,
29,Berkeley_60      , , ,4.425,60.934,118.839,-1.673,0.015,0.04,0.09,-0.5,-3.78,       ,        ,0,11,25,91,3299,0.958,12.9,0.46,0.307,0.04,8.4,       ,    ,   ,0.07,       ,0,Simbad,
31,ASCC_2           , , ,4.875,55.645,118.397,-6.948,0.055,0.1,0.22,-1.56,-1.34,       ,        ,0,20,54,221,2301,0.5,11.97,0.24,0.16,0,8.87,0.08,3,   ,        ,       ,0,Simbad,
32,FSR_0486         , , ,5.103,59.332,118.973,-3.304,0.015,0.035,0.06,-2.35,-1.46,       ,        ,0,5,14,27,1850,0.55,11.513,0.264,0.176,0,8.9,       ,    ,irc,        ,       ,0,Simbad,
33,FSR_0479         , , ,5.311,54.827,118.546,-7.791,0.012,0.05,0.09,-3.43,-1.52,       ,        ,0,3,15,40,2038,0.479,11.7,0.23,0.153,0.01,8.8,       ,1,   ,        ,       ,0,Simbad,
34,Mayer_1          , , ,5.514,61.741,119.456,-0.935,0.015,0.06,0.115,-3.87,-3.27,-20.9,2,1,4,35,115,1430,0.5,10.937,0.24,0.16,-0.03,7.74,       ,    ,   ,        ,       ,0,Simbad,
35,King_1           , , ,5.515,64.384,119.758,1.69,0.025,0.1,0.22,-2.68,-4.31,       ,        ,0,27,205,596,1659,0.625,11.3,0.3,0.2,-0.03,9.7,       ,    ,   ,        ,       ,0,Simbad,
36,FSR_0477         , , ,5.745,51.883,118.463,-10.745,0.015,0.06,0.12,-3.76,2.02,       ,        ,0,4,19,52,1908,0.458,11.55,0.22,0.147,0,9.04,       ,    ,   ,        ,       ,0,Simbad,
37,SAI_4            , , ,5.907,62.71,119.746,0.007,0.02,0.035,0.067,-4.53,-3.83,-100.7,        ,1,9,18,45,1600,0.4,11.149,0.192,0.128,0.005,8.8,0.069,2,   ,        ,       ,0,Simbad,
38,NGC_104          ,g,o,6.004,-72.081,305.904,-44.885,0.2,0.53,0.95,3.44,0,-18,0.1,0,70,394,598,4501,0.042,13.28,0.02,0.013,-0.02,10.1,       ,    ,glo,-0.645,       ,394,Simbad,
39,Stock_20         , , ,6.313,62.602,119.92,-0.12,0.025,0.06,0.14,-2.56,-3.24,       ,        ,0,10,37,145,1100,0.2,10.271,0.096,0.064,-0.02,8.337,       ,1,   ,        ,       ,0,Simbad,
40,NGC_103          , , ,6.27,61.34,119.771,-1.373,0.025,0.045,0.09,-2.49,-3.62,-116.7,        ,1,12,29,71,2501,0.45,12.135,0.216,0.144,-0.02,8.565,0.057,7,   ,        ,       ,0,Simbad,
41,Berkeley_2       , , ,6.316,60.382,119.696,-2.328,0.018,0.04,0.1,1.07,-2.68,       ,        ,0,12,29,108,5499,0.899,13.991,0.432,0.288,0,8.98,0.033,9,   ,        ,       ,0,Simbad,
42,FSR_0494         , , ,6.42,63.75,120.084,1.018,0.02,0.095,0.165,-2.97,-2.66,       ,        ,0,9,118,245,5087,0.521,13.7,0.25,0.167,-0.01,9.3,       ,    ,irc,        ,       ,0,Simbad,
44,FSR_0496         , , ,6.675,64.03,120.223,1.285,0.018,0.075,0.17,-0.29,-2.48,       ,        ,0,8,62,235,1123,0.77,10.5,0.37,0.247,0,9.055,0.049,3,irc,        ,       ,0,Simbad,
45,NGC_110          , , ,6.855,71.422,120.996,8.637,0.02,0.065,0.115,2.75,3.78,       ,        ,0,4,23,46,1600,0.65,11.23,0.312,0.208,0,8.97,       ,    ,dub,        ,       ,0,Simbad,
46,SAI_6            , , ,6.978,60.677,120.049,-2.066,0.02,0.065,0.12,-0.3,-1.36,-47,3.7,1,7,37,109,3100,0.899,12.746,0.432,0.288,0,8.7,0.061,5,   ,        ,       ,0,Simbad,
48,FSR_0481         , , ,7.234,43.279,118.586,-19.406,0.01,0.05,0.11,3.5,1.31,       ,        ,0,3,11,23,2164,0.385,11.8,0.185,0.123,0,9.1,       ,    ,   ,        ,       ,0,Simbad,
50,FSR_0498         ,r,c,7.275,62.409,120.344,-0.354,0.013,0.045,0.095,-3.86,-1.85,       ,        ,0,2,19,64,1800,0.15,11.325,0.072,0.048,-0.04,8.55,       ,    ,irc,        ,       ,0,Simbad,
51,FSR_0503         , , ,7.357,68.894,120.938,6.104,0.035,0.06,0.14,0.53,1.02,       ,        ,0,15,26,119,4701,0.799,13.618,0.384,0.256,0.01,9.18,       ,    ,   ,        ,       ,0,Simbad,
52,Stock_21         , , ,7.561,57.931,120.107,-4.828,0.02,0.07,0.155,-1.07,-2.76,       ,        ,0,6,42,168,1700,0.416,11.286,0.2,0.133,-0.022,8.825,       ,    ,   ,        ,       ,0,Simbad,
53,NGC_129          , , ,7.542,60.203,120.285,-2.563,0.02,0.09,0.155,-2.2,-1.16,-38,0.82,5,7,93,240,1685,0.541,11.307,0.26,0.173,-0.01,7.975,       ,    ,   ,        ,       ,0,Simbad,
54,ASCC_3           ,a,c,7.77,55.275,120.005,-7.484,0.03,0.08,0.24,-1.57,-2.27,-37,7.4,1,4,30,284,1550,0.25,11.032,0.12,0.08,-0.01,7.729,0.033,2,   ,        ,       ,0,Simbad,
55,NGC_133          , , ,7.819,63.345,120.668,0.559,0.015,0.035,0.08,-1.92,-1.17,       ,        ,0,5,12,45,1861,0.625,11.55,0.3,0.2,-0.035,7.3,       ,    ,   ,        ,       ,0,Simbad,
56,NGC_136          , , ,7.9,61.51,120.563,-1.274,0.015,0.055,0.125,0.31,-1.16,       ,        ,0,5,26,77,3519,0.833,13,0.4,0.267,0,8.4,       ,    ,   ,        ,       ,0,Simbad,
57,King_14          , , ,8.014,63.181,120.743,0.388,0.017,0.09,0.14,-3.75,-1.55,       ,        ,0,7,95,188,2600,0.6,12.268,0.288,0.192,-0.01,7.7,       ,    ,   ,        ,       ,0,Simbad,
58,King_15          , , ,8.199,61.89,120.733,-0.905,0.025,0.05,0.095,-3.27,-0.31,       ,        ,0,6,14,27,5500,0.7,13.927,0.336,0.224,0,8.4,       ,    ,   ,0.07,       ,0,Simbad,
59,NGC_146          , , ,8.226,63.305,120.847,0.505,0.025,0.06,0.16,-4.17,-2.23,       ,        ,0,8,34,205,2800,0.6,12.429,0.288,0.192,0,7.701,0.214,3,   ,        ,       ,0,Simbad,
62,NGC_189          , , ,9.87,61.115,121.483,-1.726,0.017,0.045,0.12,-0.31,-2.71,       ,        ,0,5,17,82,1300,0.7,10.795,0.336,0.224,0,8.709,0.047,4,   ,        ,       ,0,Simbad,
63,Stock_24         , , ,9.94,61.965,121.555,-0.879,0.02,0.06,0.145,-1.66,1.3,       ,        ,0,5,29,129,2400,0.55,12.078,0.264,0.176,0,7.985,       ,1,   ,        ,       ,0,Simbad,
65,Dolidze_12       , , ,10.192,60.855,121.628,-1.993,0.02,0.08,0.13,-0.72,-0.99,       ,        ,0,7,44,112,4000,0.5,13.171,0.24,0.16,0,9.135,0.022,14,ast,        ,       ,0,Simbad,
66,FSR_0508         , , ,10.473,64.956,121.917,2.1,0.012,0.035,0.055,2.23,-0.07,       ,        ,0,5,22,41,5053,1.499,14,0.72,0.48,-0.01,6.67,       ,    ,irc,        ,       ,0,Simbad,
67,Dias_1           , , ,10.653,64.06,121.962,1.202,0.02,0.06,0.14,-0.86,1.33,       ,        ,0,12,52,165,2186,0.937,12,0.45,0.3,0.01,7.9,       ,    ,   ,        ,       ,0,Simbad,
68,NGC_225          , , ,10.8,61.782,121.953,-1.077,0.02,0.07,0.18,-3.09,-0.75,-28,        ,1,3,29,155,850,0.6,9.84,0.288,0.192,-0.02,8.191,0.058,2,   ,        ,       ,0,Simbad,
69,Czernik_2        , , ,10.924,60.152,121.963,-2.708,0.02,0.045,0.11,-0.71,-1,       ,        ,0,6,28,92,4500,0.5,13.427,0.24,0.16,0.01,9.123,0.036,6,   ,        ,       ,0,Simbad,
70,King_16          , , ,10.965,64.18,122.102,1.317,0.02,0.065,0.13,-0.66,1.58,       ,        ,0,9,45,124,2325,0.833,12.1,0.4,0.267,0,7.8,       ,    ,   ,        ,       ,0,Simbad,
71,FSR_0507         , , ,11.01,52.36,121.778,-10.498,0.02,0.075,0.15,-5.26,0.37,       ,        ,0,3,25,69,2203,0.885,12,0.425,0.283,0.01,9,       ,    ,   ,        ,       ,0,Simbad,
73,Berkeley_4       , , ,11.268,64.382,122.239,1.516,0.03,0.09,0.17,-0.23,1.01,       ,        ,0,16,69,176,3300,0.7,12.818,0.336,0.224,-0.01,7.3,       ,    ,   ,        ,       ,0,Simbad,
74,NGC_188          , , ,11.85,85.255,122.839,22.381,0.035,0.295,0.57,0.15,-1.43,-45,2.13,21,30,402,724,2000,0.085,11.533,0.041,0.027,-0.015,9.65,       ,    ,   ,-0.01,0.09,21,Simbad,
75,Berkeley_61      , , ,12.079,67.193,122.624,4.32,0.025,0.06,0.1,-1.95,0.98,       ,        ,0,6,17,51,2153,1.041,12,0.5,0.333,-0.01,8.985,0.015,2,   ,        ,       ,0,Simbad,
76,Dolidze_13       , , ,12.51,64.091,122.775,1.216,0.02,0.055,0.11,-1.49,2.45,       ,        ,0,5,25,58,2400,0.35,12.014,0.168,0.112,-0.01,8.962,0.04,2,dub,        ,       ,0,Simbad,
77,FSR_0515         , , ,12.682,54.765,122.823,-8.11,0.012,0.051,0.085,-4.27,-2.34,       ,        ,0,2,19,33,2362,0.416,12,0.2,0.133,0,9.275,       ,    ,   ,        ,       ,0,Simbad,
78,FSR_0516         , , ,12.637,65.965,122.837,3.09,0.018,0.085,0.17,-1.8,-0.45,       ,        ,0,2,16,65,810,2.04,10.199,0.98,0.654,0.05,8.83,0.052,4,irc,        ,       ,0,Simbad,
79,King_2           , , ,12.732,58.201,122.859,-4.674,0.02,0.05,0.1,-1.71,-0.08,-144.2,5.92,7,2,15,53,5499,0.3,13.798,0.144,0.096,0,9.67,       ,    ,   ,-0.42,0.09,7,Simbad,
80,FSR_0518         ,m,o,12.81,44.285,122.888,-18.59,0.02,0.1,0.2,-8.85,-6.05,       ,        ,0,1,13,25,2154,0.104,11.7,0.05,0.033,0,9.415,0.001,2,   ,        ,       ,0,Simbad,
81,Cas_OB7          ,a,o,12.465,64.14,122.755,1.266,0.04,0.16,0.27,-0.35,0.94,-50,3,4,6,70,176,2600,2.101,12.751,1.009,0.673,0.1,7.7,       ,    ,ass,        ,       ,0,Simbad,
83,FSR_0519         , , ,13.122,64.667,123.04,1.792,0.02,0.06,0.14,0.03,2.47,       ,        ,0,5,26,95,1517,0.697,11.129,0.335,0.223,0,7.35,       ,    ,irc,        ,       ,0,Simbad,
84,NGC_288          ,g,o,13.192,-26.585,151.377,-89.386,0.05,0.16,0.31,8.59,-8.74,-45.4,0.2,0,5,27,31,8912,0.031,14.76,0.015,0.01,0.02,10.1,       ,    ,glo,-1.15,       ,27,Simbad,
85,IC_1590          ,n,o,13.2,56.63,123.115,-6.245,0.015,0.105,0.23,-1.8,-1.82,-32.5,6.36,5,1,39,179,2400,0.4,12.03,0.192,0.128,-0.02,6.895,       ,1,   ,        ,       ,0,Simbad,
86,FSR_0521         , , ,13.245,59.835,123.121,-3.039,0.015,0.06,0.125,-1.36,-0.18,       ,        ,0,5,36,122,2534,0.562,12.2,0.27,0.18,0.02,9.21,0.053,11,irc,        ,       ,0,Simbad,
87,ASCC_4           , , ,13.32,61.6,123.146,-1.274,0.025,0.085,0.21,-1.15,-0.63,-9.2,9.3,4,4,25,118,550,0.25,8.782,0.12,0.08,-0.04,8.65,       ,    ,   ,        ,       ,0,Simbad,
88,Alessi_1         , , ,13.327,49.48,123.238,-13.394,0.05,0.175,0.425,6.13,-7.53,6,1.8,1,4,21,95,750,0.1,9.407,0.048,0.032,0,8.84,       ,    ,   ,        ,       ,0,Simbad,
89,FSR_0522         , , ,13.5,65.797,123.19,2.923,0.02,0.055,0.105,-1.16,1.93,       ,        ,0,5,29,79,2094,0.916,11.9,0.44,0.293,-0.01,8.55,       ,    ,irc,        ,       ,0,Simbad,
92,FSR_0524         , , ,14.32,62.125,123.61,-0.742,0.01,0.06,0.11,-1.57,-0.07,       ,        ,0,4,46,101,1841,0.541,11.499,0.26,0.173,-0.04,9.19,       ,    ,   ,        ,       ,0,Simbad,
93,ASCC_5           , , ,14.407,55.855,123.802,-7.01,0.03,0.1,0.19,-1.82,-3.15,-43,3.7,1,5,25,85,523,0.021,8.599,0.01,0.007,-0.015,7.78,       ,    ,   ,        ,       ,0,Simbad,
94,Skiff_J0058+68.4 , , ,14.542,68.465,123.548,5.598,0.02,0.18,0.32,-1.83,0.79,       ,        ,0,8,261,598,2000,0.65,11.714,0.312,0.208,-0.02,9.01,0.012,44,   ,        ,       ,0,Simbad,
97,Berkeley_62      , , ,15.277,63.935,123.99,1.08,0.018,0.075,0.16,-2.65,1.7,       ,        ,0,7,64,198,2000,0.731,11.74,0.351,0.234,0,7.3,       ,    ,var,        ,       ,0,Simbad,
98,Czernik_3        , , ,15.787,62.787,124.266,-0.058,0.01,0.04,0.08,-1.55,0.36,       ,        ,0,4,13,39,1600,0.999,11.342,0.48,0.32,0,8.8,       ,    ,   ,        ,       ,0,Simbad,
99,NGC_362          ,g,o,15.825,-70.847,301.526,-46.246,0.055,0.145,0.235,7.63,-4.67,223.5,0.5,0,4,35,55,8603,0.052,14.69,0.025,0.017,0,10.1,       ,    ,glo,-1.25,       ,35,Simbad,
101,Cas_OB1          ,a,o,15.06,61.46,123.979,-1.397,0.075,0.33,0.6,-1.9,-1.07,-42,2.5,5,13,198,694,3000,2.251,13.11,1.081,0.721,0.085,7.033,0.062,10,ass,        ,       ,0,Simbad,
102,NGC_366          , , ,16.635,62.224,124.686,-0.6,0.027,0.085,0.16,-0.48,-2.08,       ,        ,0,16,83,185,2200,0.999,12.034,0.48,0.32,0,7.9,       ,    ,   ,        ,       ,0,Simbad,
104,Pfleiderer_1     ,r,c,17.01,65.662,124.639,2.842,0.018,0.05,0.09,2.46,0.32,       ,        ,0,4,14,40,4126,1.312,13.5,0.63,0.42,-0.02,9.07,0.052,2,   ,        ,       ,0,Simbad,
105,NGC_381          , , ,17.107,61.579,124.948,-1.229,0.02,0.1,0.18,0.22,-2.07,-22,6,2,9,92,233,1200,0.339,10.505,0.163,0.109,0,8.85,0.029,9,   ,0.07,       ,0,Simbad,
106,BDSB_51          ,r,o,17.152,63.118,124.867,0.308,0.01,0.045,0.065,-0.35,5.41,       ,        ,0,2,14,19,12002,1.68,15.937,0.807,0.538,0.05,8.15,       ,    ,irc,        ,       ,0,Simbad,
107,FSR_0530         ,r,c,17.985,56.985,125.731,-5.779,0.03,0.06,0.12,-3.21,0.11,       ,        ,0,11,22,61,3501,0.2,12.785,0.096,0.064,-0.015,9.3,       ,    ,   ,        ,       ,0,Simbad,
108,Stock_3          , , ,18.037,62.258,125.335,-0.52,0.02,0.07,0.11,-0.13,-0.64,-6,        ,1,3,39,90,1363,0.708,10.9,0.34,0.227,-0.03,7.85,       ,    ,   ,        ,       ,0,Simbad,
109,Platais_2        ,m,o,18.225,32.05,128.208,-30.605,0.25,1.32,1.32,13.85,-11.29,6.5,3.53,3,7,64,64,190,0.05,6.41,0.024,0.016,0,8.313,       ,1,   ,        ,       ,0,Simbad,
110,NGC_433          , , ,18.801,60.123,125.886,-2.616,0.02,0.06,0.14,-2.32,-1.6,-36.9,0.18,1,6,45,151,1650,0.6,11.28,0.288,0.192,0,7.81,       ,1,   ,        ,       ,0,Simbad,
111,NGC_436          , , ,18.996,58.811,126.108,-3.913,0.04,0.095,0.155,-1.9,-2.15,-74.3,0.27,1,22,51,77,3000,0.46,12.534,0.221,0.147,0,7.925,       ,    ,   ,        ,       ,0,Simbad,
112,FSR_0534         ,r,c,19.359,61.3,126.044,-1.418,0.01,0.05,0.1,-2.17,-3.02,       ,        ,0,2,21,74,1800,0.6,11.469,0.288,0.192,0,8.7,       ,    ,irc,        ,       ,0,Simbad,
113,FSR_0537         ,r,c,19.768,60.347,126.342,-2.345,0.02,0.045,0.1,-0.22,-3.04,       ,        ,0,6,16,72,2075,0.666,11.799,0.32,0.213,0,9,       ,    ,irc,        ,       ,0,Simbad,
114,NGC_457          , , ,19.905,58.28,126.635,-4.392,0.055,0.13,0.22,-1.92,-2.19,-32.7,3.47,7,40,153,321,2400,0.4,12.03,0.192,0.128,0,7.38,       ,    ,   ,        ,       ,0,Simbad,
115,FSR_0544         , , ,19.957,52.667,127.29,-9.968,0.02,0.075,0.165,-2.74,1.38,       ,        ,0,6,43,113,1799,0.7,11.5,0.336,0.224,0,8.906,0.02,4,   ,        ,       ,0,Simbad,
116,FSR_0536         , , ,19.933,63.067,126.125,0.368,0.02,0.08,0.16,-1.16,1.98,       ,        ,0,11,69,146,3001,1.199,12.772,0.576,0.384,0,8.397,       ,    ,irc,        ,       ,0,Simbad,
117,FSR_0538         , , ,20.512,63.703,126.31,1.029,0.01,0.06,0.115,-0.95,2.77,       ,        ,0,3,27,82,2146,1.062,12,0.51,0.34,0,8.86,0.018,4,irc,        ,       ,0,Simbad,
119,FSR_0542         , , ,21.45,62.985,126.818,0.369,0.025,0.085,0.14,1.22,-2.31,       ,        ,0,14,65,138,1934,0.833,11.7,0.4,0.267,0.01,8.35,       ,    ,irc,        ,       ,0,Simbad,
120,SAI_14           , , ,21.517,62.613,126.898,0.005,0.02,0.07,0.12,2.24,-3.98,       ,        ,0,5,26,93,5086,0.833,13.8,0.4,0.267,-0.025,9.45,       ,    ,   ,        ,       ,0,Simbad,
121,FSR_0560         , , ,21.997,44.155,129.815,-18.231,0.018,0.08,0.15,-0.11,-1.95,       ,        ,0,5,23,43,1907,0.77,11.65,0.37,0.247,0.02,8.355,       ,    ,   ,        ,       ,0,Simbad,
122,NGC_559          , , ,22.38,63.302,127.189,0.742,0.03,0.15,0.3,-2.95,-1.07,-37.7,        ,1,19,210,528,2200,0.6,11.905,0.288,0.192,-0.015,8.8,       ,    ,   ,        ,       ,0,Simbad,
123,FSR_0547         ,r,o,22.438,60.713,127.599,-1.814,0.013,0.04,0.08,0.85,-0.39,       ,        ,0,2,15,27,2800,0.3,12.332,0.144,0.096,-0.015,8.9,       ,    ,irc,        ,       ,0,Simbad,
124,NGC_581          , , ,23.316,60.652,128.033,-1.808,0.035,0.075,0.17,-1.14,0.37,-41.4,1.65,6,20,44,176,2199,0.331,11.818,0.159,0.106,-0.013,7.44,       ,    ,   ,        ,       ,0,Simbad,
125,FSR_0531         , , ,23.355,74.742,125.739,12.096,0.015,0.08,0.165,3.39,-2.08,       ,        ,0,3,22,83,3896,0.146,13,0.07,0.047,-0.03,9.4,       ,    ,   ,        ,       ,0,Simbad,
126,Czernik_4        , , ,23.902,61.463,128.178,-0.961,0.01,0.04,0.07,1.84,-1.84,-11.4,0.25,1,3,11,24,1632,0.999,11.385,0.48,0.32,0,7.715,       ,    ,   ,        ,       ,0,Simbad,
127,Trumpler_1       , , ,23.91,61.275,128.214,-1.146,0.01,0.045,0.08,0.67,-2.16,-65,30,1,2,22,50,2399,0.583,12.088,0.28,0.187,-0.02,7.1,       ,    ,   ,        ,       ,0,Simbad,
128,NGC_609          , , ,24.094,64.535,127.736,2.08,0.03,0.08,0.125,-0.45,-1.38,       ,        ,0,21,71,124,4499,0.75,13.507,0.36,0.24,-0.02,9.15,       ,    ,   ,        ,       ,0,Simbad,
129,FSR_0546         , , ,24.3,65.85,127.59,3.39,0.03,0.09,0.15,2.32,0.36,       ,        ,0,13,72,140,2501,1.099,12.344,0.528,0.352,0,9,       ,    ,irc,        ,       ,0,Simbad,
130,FSR_0549         ,r,c,24.912,65.921,127.824,3.505,0.015,0.05,0.09,1.85,1.07,       ,        ,0,4,28,69,6001,0.45,14.036,0.216,0.144,-0.025,9.3,       ,    ,irc,        ,       ,0,Simbad,
131,FSR_0551         ,r,c,24.925,64.875,128.024,2.478,0.01,0.045,0.07,2.1,-1.13,       ,        ,0,3,21,38,3500,1.499,13.203,0.72,0.48,0.05,6.68,       ,    ,irc,        ,       ,0,Simbad,
132,FSR_0553         , , ,25.234,64.515,128.222,2.15,0.025,0.06,0.12,-1.15,0.87,       ,        ,0,14,44,119,7500,0.999,14.697,0.48,0.32,0.02,8.6,       ,    ,irc,        ,       ,0,Simbad,
133,NGC_637          , , ,25.777,64.045,128.545,1.735,0.011,0.075,0.145,-0.25,-2,-39.1,7.1,2,3,30,103,2304,0.583,12,0.28,0.187,0,6.74,       ,    ,   ,        ,       ,0,Simbad,
134,FSR_0539         , , ,25.792,74.405,126.454,11.885,0.02,0.06,0.14,-0.35,1.29,       ,        ,0,4,22,58,2121,0.521,11.8,0.25,0.167,0,9.305,0.053,6,   ,        ,       ,0,Simbad,
135,NGC_657          , , ,25.849,55.84,130.222,-6.298,0.018,0.05,0.095,-1.07,-1.53,       ,        ,0,3,18,38,1934,0.521,11.6,0.25,0.167,0,9,       ,    ,   ,        ,       ,0,Simbad,
137,NGC_654          , , ,25.995,61.9,129.072,-0.347,0.02,0.105,0.16,0.9,-3.36,-38.8,2.5,1,11,86,179,1786,0.75,11.501,0.36,0.24,0,7.25,       ,    ,   ,        ,       ,0,Simbad,
138,NGC_659          , , ,26.092,60.67,129.368,-1.542,0.025,0.07,0.155,-0.46,-0.63,       ,        ,0,23,68,234,2300,0.65,12.018,0.312,0.208,-0.01,7.762,0.193,2,   ,        ,       ,0,Simbad,
139,NGC_663          , , ,26.55,61.225,129.47,-0.953,0.035,0.1,0.24,-0.98,-1.94,-31.6,2.01,6,17,113,516,2100,0.7,11.836,0.336,0.224,0,7.5,       ,    ,   ,        ,       ,0,Simbad,
140,Collinder_463    , , ,27.3,71.78,127.461,9.415,0.05,0.22,0.51,1.79,0.56,-7.2,0.28,1,9,121,567,800,0.3,9.612,0.144,0.096,0,8.45,0.066,4,   ,        ,       ,0,Simbad,
141,ASCC_6           , , ,26.82,57.68,130.36,-4.388,0.035,0.08,0.19,-0.52,-0.68,-20,7.4,1,17,39,205,1350,0.3,10.748,0.144,0.096,-0.01,7.8,       ,    ,   ,        ,       ,0,Simbad,
